* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 720 
v 0.111111 0.311002 0.333333
v 0.0738671 0.333333 0.333333
v 0.111111 0.333333 0.315716
v 0.111111 0.311002 0.333333
v 0.111111 0.333333 0.343722
v 0.0738671 0.333333 0.333333
v 0.0738671 0.333333 0.333333
v 0.111111 0.344103 0.333333
v 0.111111 0.333333 0.315716
v 0.0738671 0.333333 0.333333
v 0.111111 0.333333 0.343722
v 0.111111 0.344103 0.333333
v 0.222222 0.0473499 0.222222
v 0.173739 0.111111 0.222222
v 0.222222 0.111111 0.124849
v 0.222222 0.0318701 0.333333
v 0.173739 0.111111 0.222222
v 0.222222 0.0473499 0.222222
v 0.135041 0.111111 0.333333
v 0.173739 0.111111 0.222222
v 0.222222 0.0318701 0.333333
v 0.222222 0.0701538 0.444444
v 0.135041 0.111111 0.333333
v 0.222222 0.0318701 0.333333
v 0.189899 0.111111 0.444444
v 0.135041 0.111111 0.333333
v 0.222222 0.0701538 0.444444
v 0.222222 0.0701538 0.444444
v 0.222222 0.111111 0.492674
v 0.189899 0.111111 0.444444
v 0.182633 0.222222 0.222222
v 0.222222 0.111111 0.124849
v 0.173739 0.111111 0.222222
v 0.222222 0.222222 0.143753
v 0.222222 0.111111 0.124849
v 0.182633 0.222222 0.222222
v 0.173739 0.111111 0.222222
v 0.135041 0.111111 0.333333
v 0.182633 0.222222 0.222222
v 0.135041 0.111111 0.333333
v 0.160676 0.222222 0.333333
v 0.182633 0.222222 0.222222
v 0.135041 0.111111 0.333333
v 0.189899 0.111111 0.444444
v 0.160676 0.222222 0.333333
v 0.189899 0.111111 0.444444
v 0.200262 0.222222 0.444444
v 0.160676 0.222222 0.333333
v 0.189899 0.111111 0.444444
v 0.222222 0.222222 0.477207
v 0.200262 0.222222 0.444444
v 0.222222 0.111111 0.492674
v 0.222222 0.222222 0.477207
v 0.189899 0.111111 0.444444
v 0.182633 0.222222 0.222222
v 0.222222 0.317936 0.222222
v 0.222222 0.222222 0.143753
v 0.111111 0.311002 0.333333
v 0.182633 0.222222 0.222222
v 0.160676 0.222222 0.333333
v 0.111111 0.311002 0.333333
v 0.222222 0.333333 0.259851
v 0.182633 0.222222 0.222222
v 0.111111 0.311002 0.333333
v 0.111111 0.333333 0.315716
v 0.222222 0.333333 0.259851
v 0.222222 0.333333 0.259851
v 0.222222 0.317936 0.222222
v 0.182633 0.222222 0.222222
v 0.111111 0.311002 0.333333
v 0.222222 0.333333 0.370486
v 0.111111 0.333333 0.343722
v 0.111111 0.311002 0.333333
v 0.200262 0.222222 0.444444
v 0.222222 0.333333 0.370486
v 0.111111 0.311002 0.333333
v 0.160676 0.222222 0.333333
v 0.200262 0.222222 0.444444
v 0.222222 0.27265 0.444444
v 0.222222 0.333333 0.370486
v 0.200262 0.222222 0.444444
v 0.200262 0.222222 0.444444
v 0.222222 0.222222 0.477207
v 0.222222 0.27265 0.444444
v 0.111111 0.333333 0.315716
v 0.222222 0.351241 0.333333
v 0.222222 0.333333 0.259851
v 0.111111 0.344103 0.333333
v 0.222222 0.351241 0.333333
v 0.111111 0.333333 0.315716
v 0.111111 0.344103 0.333333
v 0.222222 0.333333 0.370486
v 0.222222 0.351241 0.333333
v 0.111111 0.333333 0.343722
v 0.222222 0.333333 0.370486
v 0.111111 0.344103 0.333333
v 0.333333 0.0243673 0.111111
v 0.232565 0.111111 0.111111
v 0.333333 0.111111 0.0344966
v 0.232565 0.111111 0.111111
v 0.222222 0.0473499 0.222222
v 0.222222 0.111111 0.124849
v 0.232565 0.111111 0.111111
v 0.333333 0.0243673 0.111111
v 0.222222 0.0473499 0.222222
v 0.333333 0.0243673 0.111111
v 0.333333 0.00347751 0.222222
v 0.222222 0.0473499 0.222222
v 0.222222 0.0473499 0.222222
v 0.333333 0.00347751 0.222222
v 0.222222 0.0318701 0.333333
v 0.333333 0.00347751 0.222222
v 0.333333 0.00175589 0.333333
v 0.222222 0.0318701 0.333333
v 0.222222 0.0318701 0.333333
v 0.333333 0.00175589 0.333333
v 0.222222 0.0701538 0.444444
v 0.333333 0.00175589 0.333333
v 0.333333 0.00591935 0.444444
v 0.222222 0.0701538 0.444444
v 0.222222 0.111111 0.492674
v 0.333333 0.0702146 0.555556
v 0.285148 0.111111 0.555556
v 0.222222 0.111111 0.492674
v 0.222222 0.0701538 0.444444
v 0.333333 0.0702146 0.555556
v 0.222222 0.0701538 0.444444
v 0.333333 0.00591935 0.444444
v 0.333333 0.0702146 0.555556
v 0.333333 0.0702146 0.555556
v 0.333333 0.111111 0.587807
v 0.285148 0.111111 0.555556
v 0.246266 0.222222 0.111111
v 0.333333 0.111111 0.0344966
v 0.232565 0.111111 0.111111
v 0.333333 0.222222 0.0441641
v 0.333333 0.111111 0.0344966
v 0.246266 0.222222 0.111111
v 0.222222 0.111111 0.124849
v 0.222222 0.222222 0.143753
v 0.246266 0.222222 0.111111
v 0.232565 0.111111 0.111111
v 0.222222 0.111111 0.124849
v 0.246266 0.222222 0.111111
v 0.222222 0.222222 0.477207
v 0.222222 0.111111 0.492674
v 0.285148 0.111111 0.555556
v 0.300625 0.222222 0.555556
v 0.222222 0.222222 0.477207
v 0.285148 0.111111 0.555556
v 0.285148 0.111111 0.555556
v 0.333333 0.222222 0.577455
v 0.300625 0.222222 0.555556
v 0.333333 0.111111 0.587807
v 0.333333 0.222222 0.577455
v 0.285148 0.111111 0.555556
v 0.313484 0.333333 0.111111
v 0.333333 0.222222 0.0441641
v 0.246266 0.222222 0.111111
v 0.333333 0.333333 0.0958565
v 0.333333 0.222222 0.0441641
v 0.313484 0.333333 0.111111
v 0.222222 0.222222 0.143753
v 0.222222 0.317936 0.222222
v 0.232649 0.333333 0.222222
v 0.222222 0.222222 0.143753
v 0.232649 0.333333 0.222222
v 0.246266 0.222222 0.111111
v 0.246266 0.222222 0.111111
v 0.232649 0.333333 0.222222
v 0.313484 0.333333 0.111111
v 0.222222 0.317936 0.222222
v 0.222222 0.333333 0.259851
v 0.232649 0.333333 0.222222
v 0.222222 0.333333 0.370486
v 0.222222 0.27265 0.444444
v 0.263783 0.333333 0.444444
v 0.300625 0.222222 0.555556
v 0.333333 0.272535 0.555556
v 0.333333 0.333333 0.513947
v 0.222222 0.222222 0.477207
v 0.300625 0.222222 0.555556
v 0.333333 0.333333 0.513947
v 0.222222 0.222222 0.477207
v 0.333333 0.333333 0.513947
v 0.263783 0.333333 0.444444
v 0.222222 0.222222 0.477207
v 0.263783 0.333333 0.444444
v 0.222222 0.27265 0.444444
v 0.300625 0.222222 0.555556
v 0.333333 0.222222 0.577455
v 0.333333 0.272535 0.555556
v 0.313484 0.333333 0.111111
v 0.333333 0.353288 0.111111
v 0.333333 0.333333 0.0958565
v 0.232649 0.333333 0.222222
v 0.333333 0.353288 0.111111
v 0.313484 0.333333 0.111111
v 0.333333 0.391768 0.222222
v 0.333333 0.353288 0.111111
v 0.232649 0.333333 0.222222
v 0.222222 0.333333 0.259851
v 0.333333 0.391768 0.222222
v 0.232649 0.333333 0.222222
v 0.222222 0.333333 0.259851
v 0.222222 0.351241 0.333333
v 0.333333 0.391768 0.222222
v 0.222222 0.351241 0.333333
v 0.333333 0.39564 0.333333
v 0.333333 0.391768 0.222222
v 0.263783 0.333333 0.444444
v 0.222222 0.351241 0.333333
v 0.222222 0.333333 0.370486
v 0.263783 0.333333 0.444444
v 0.333333 0.377786 0.444444
v 0.222222 0.351241 0.333333
v 0.333333 0.377786 0.444444
v 0.333333 0.39564 0.333333
v 0.222222 0.351241 0.333333
v 0.263783 0.333333 0.444444
v 0.333333 0.333333 0.513947
v 0.333333 0.377786 0.444444
v 0.444444 0.111111 0.00536245
v 0.333333 0.0243673 0.111111
v 0.333333 0.111111 0.0344966
v 0.444444 0.00858224 0.111111
v 0.333333 0.0243673 0.111111
v 0.444444 0.111111 0.00536245
v 0.333333 0.0243673 0.111111
v 0.444444 0.00858224 0.111111
v 0.333333 0.00347752 0.222222
v 0.444444 0.00858224 0.111111
v 0.444444 0.000845321 0.222222
v 0.333333 0.00347752 0.222222
v 0.333333 0.00347752 0.222222
v 0.444444 0.000845321 0.222222
v 0.333333 0.00175589 0.333333
v 0.444444 0.000845321 0.222222
v 0.444444 0 0.333333
v 0.333333 0.00175589 0.333333
v 0.333333 0.00175589 0.333333
v 0.444444 0 0.333333
v 0.333333 0.00591935 0.444444
v 0.444444 0 0.333333
v 0.444444 0.00176212 0.444444
v 0.333333 0.00591935 0.444444
v 0.333333 0.00591935 0.444444
v 0.444444 0.00176212 0.444444
v 0.333333 0.0702146 0.555556
v 0.444444 0.00176212 0.444444
v 0.444444 0.0307479 0.555556
v 0.333333 0.0702146 0.555556
v 0.444444 0.0307479 0.555556
v 0.333333 0.111111 0.587807
v 0.333333 0.0702146 0.555556
v 0.444444 0.111111 0.615857
v 0.333333 0.111111 0.587807
v 0.444444 0.0307479 0.555556
v 0.333333 0.111111 0.0344966
v 0.333333 0.222222 0.0441641
v 0.444444 0.111111 0.00536245
v 0.333333 0.222222 0.0441641
v 0.444444 0.222222 0.0141872
v 0.444444 0.111111 0.00536245
v 0.333333 0.111111 0.587807
v 0.444444 0.111111 0.615857
v 0.333333 0.222222 0.577455
v 0.333333 0.222222 0.577455
v 0.444444 0.111111 0.615857
v 0.444444 0.222222 0.607767
v 0.333333 0.222222 0.0441641
v 0.333333 0.333333 0.0958565
v 0.444444 0.222222 0.0141872
v 0.333333 0.333333 0.0958565
v 0.444444 0.333333 0.0678701
v 0.444444 0.222222 0.0141872
v 0.333333 0.333333 0.513947
v 0.333333 0.272535 0.555556
v 0.418602 0.333333 0.555556
v 0.333333 0.272535 0.555556
v 0.444444 0.333333 0.563209
v 0.418602 0.333333 0.555556
v 0.333333 0.272535 0.555556
v 0.333333 0.222222 0.577455
v 0.444444 0.333333 0.563209
v 0.333333 0.222222 0.577455
v 0.444444 0.222222 0.607767
v 0.444444 0.333333 0.563209
v 0.333333 0.333333 0.0958565
v 0.444444 0.374939 0.111111
v 0.444444 0.333333 0.0678701
v 0.333333 0.353288 0.111111
v 0.444444 0.374939 0.111111
v 0.333333 0.333333 0.0958565
v 0.333333 0.353288 0.111111
v 0.333333 0.391768 0.222222
v 0.444444 0.374939 0.111111
v 0.444444 0.374939 0.111111
v 0.333333 0.391768 0.222222
v 0.444444 0.402266 0.222222
v 0.440117 0.444444 0.333333
v 0.444444 0.444444 0.328341
v 0.444444 0.402266 0.222222
v 0.440117 0.444444 0.333333
v 0.444444 0.402266 0.222222
v 0.333333 0.39564 0.333333
v 0.333333 0.39564 0.333333
v 0.444444 0.402266 0.222222
v 0.333333 0.391768 0.222222
v 0.444444 0.444444 0.33766
v 0.440117 0.444444 0.333333
v 0.333333 0.39564 0.333333
v 0.444444 0.444444 0.33766
v 0.333333 0.39564 0.333333
v 0.444444 0.395625 0.444444
v 0.444444 0.395625 0.444444
v 0.333333 0.39564 0.333333
v 0.333333 0.377786 0.444444
v 0.418602 0.333333 0.555556
v 0.333333 0.377786 0.444444
